partition_id,quant_bits,coder_channels,en_stride,best_acc,min_loss
6,8,2,1,0.786593707250342,0.6524838157322096
0,32,4,5,0.8221614227086184,0.5643546477608059
10,16,8,1,0.8344733242134063,0.5514273850814156
8,1,16,3,0.45143638850889195,1.4122593091881794
3,1,16,5,0.5444596443228454,1.1886805658755095
6,4,1,7,0.5909712722298222,1.098522020422894
3,8,8,1,0.8358413132694938,0.5384486239889393
3,32,32,9,0.707250341997264,0.8345098080842391
6,8,32,3,0.8180574555403557,0.6035069590029509
6,1,16,3,0.493844049247606,1.3024870001751443
3,16,1,7,0.640218878248974,1.019325588060462
8,16,8,6,0.801641586867305,0.6371022514674974
0,4,4,5,0.8290013679890561,0.5734879037608271
8,1,8,6,0.4008207934336525,1.6166519496751868
8,1,4,3,0.35157318741450067,1.6117459172787874
3,16,64,7,0.7346101231190151,0.7847197988758916
8,4,16,9,0.7578659370725034,0.7114245373269786
6,16,16,3,0.801641586867305,0.5956505485202955
0,4,1,6,0.7346101231190151,0.7495325337285581
3,32,64,6,0.786593707250342,0.703940018363621
6,32,32,5,0.771545827633379,0.6671908005424168
8,2,4,3,0.7004103967168263,0.9314245141070822
8,16,2,6,0.7783857729138167,0.6777540289837382
3,32,8,2,0.8317373461012312,0.5679627294125764
6,4,2,5,0.7606019151846786,0.7281497457753057
10,32,64,1,0.8385772913816689,0.5363306791886039
6,1,2,3,0.4719562243502052,1.3537814098855723
0,4,64,3,0.8166894664842681,0.5628441105718198
8,2,32,6,0.7852257181942545,0.7111995531165082
0,32,32,1,0.8194254445964432,0.5596332135407821
8,2,64,1,0.8235294117647058,0.5889895065971043
0,1,32,3,0.7824897400820794,0.6814364972321884
10,32,32,5,0.8166894664842681,0.5645152796869692
8,32,4,6,0.79890560875513,0.6508548156074856
0,1,1,6,0.518467852257182,1.2995630347210427
3,2,64,6,0.7523939808481532,0.7704534945280656
6,1,4,3,0.4637482900136799,1.3914770043414573
3,16,32,7,0.7332421340629275,0.7657308993132218
6,32,64,3,0.8057455540355677,0.5979088493015455
8,1,16,3,0.4514363885088919,1.4122593091881794
10,8,4,7,0.8071135430916553,0.613626065461532
8,4,64,5,0.8207934336525308,0.5608725340470023
0,4,1,1,0.8207934336525308,0.5865524540776792
6,8,2,6,0.7305061559507524,0.7851614744766898
0,16,4,3,0.8317373461012312,0.5563383931699006
3,16,32,9,0.7031463748290013,0.8504441302755604
6,2,1,3,0.43912448700410395,1.4256427599036174
3,32,4,6,0.7291381668946648,0.7937827732252039
8,8,8,1,0.8207934336525308,0.5540799679963485
3,4,4,1,0.8153214774281806,0.5984454362288766
10,16,32,6,0.7961696306429549,0.6268764164136804
8,4,16,2,0.8180574555403557,0.572586266890816
10,16,1,6,0.761969904240766,0.7760902902354365
10,2,8,2,0.7017783857729138,0.9650873930557914
6,8,16,7,0.7688098495212038,0.7088316212529722
3,1,32,3,0.655266757865937,0.9634805762249491
10,4,64,3,0.8180574555403557,0.5806321683137313
10,4,4,1,0.8248974008207934,0.559536311937415
8,2,4,3,0.7004103967168263,0.9314245141070822
6,8,8,3,0.8166894664842681,0.5938067643538766
6,8,8,3,0.8166894664842681,0.5938067643538766
10,8,1,5,0.7756497948016415,0.7111465619957965
10,8,64,3,0.8221614227086184,0.5755964776744014
0,1,16,2,0.7647058823529411,0.6907846616662067
3,4,1,9,0.5581395348837209,1.13953333315642
8,8,4,5,0.813953488372093,0.5957880849423616
8,4,2,7,0.7824897400820794,0.6861768805462382
3,32,16,7,0.7318741450068399,0.7695324939230214
6,16,16,7,0.7633378932968536,0.7042246279509171
10,16,8,7,0.8194254445964432,0.5999892276266346
10,2,16,5,0.7852257181942545,0.718189405358356
3,32,16,1,0.8481532147742818,0.5116887714551843
10,4,32,5,0.8153214774281806,0.5762366004612135
8,4,16,5,0.8098495212038304,0.6072468135667883
3,2,32,3,0.759233926128591,0.7389462512472401
0,8,16,1,0.8207934336525308,0.5542509244835895
0,32,64,1,0.8276333789329685,0.5545638125875721
6,16,8,1,0.8071135430916553,0.6085985017859418
8,4,16,3,0.8303693570451436,0.5627006447833517
8,2,16,3,0.7838577291381669,0.6993599767270295
3,32,4,5,0.7564979480164159,0.7597376781961193
3,4,2,9,0.6566347469220246,0.9733895011570143
10,8,64,6,0.8057455540355677,0.6190896241561227
8,32,32,3,0.8084815321477428,0.599871303724206
3,16,8,9,0.6990424076607387,0.8578798045282778
6,1,2,9,0.33652530779753764,1.5794684368631113
6,1,8,3,0.47058823529411764,1.317490121592646
10,8,32,3,0.8426812585499316,0.5387928174889606
3,4,8,7,0.7277701778385773,0.8017505148182744
6,1,32,5,0.46238030095759236,1.3344287872314453
3,4,2,6,0.7031463748290013,0.8732674640157948
0,32,8,7,0.8084815321477428,0.6125208813211193
6,16,16,1,0.8043775649794802,0.5743838600490404
10,8,2,2,0.813953488372093,0.5902137756347656
6,2,16,6,0.7346101231190151,0.8320624310037364
3,1,64,6,0.5759233926128591,1.1510837389075237
8,4,64,5,0.8207934336525308,0.5608725340470023
8,16,16,9,0.7770177838577291,0.7009162902832031
8,4,8,6,0.7934336525307798,0.6721195138019064
10,2,2,2,0.5170998632010944,1.2525085780931555
0,2,2,5,0.7168262653898769,0.832550048828125
10,2,1,7,0.4952120383036936,1.3416650191597317
0,2,16,3,0.8071135430916553,0.6200491034466288
10,2,8,9,0.5909712722298222,1.1643582219662874
10,32,2,7,0.7893296853625171,0.6588559772657312
8,4,1,3,0.7551299589603283,0.7680470839790676
3,1,64,5,0.5376196990424077,1.181421943332838
3,1,32,9,0.4801641586867305,1.2870224662449048
3,4,32,2,0.8454172366621067,0.5107338946798573
3,1,64,1,0.7181942544459644,0.8158336307691492
10,8,64,7,0.8057455540355677,0.5995244565217391
3,16,1,2,0.7264021887824897,0.7964750372845194
10,2,16,1,0.7838577291381669,0.7302774346393087
6,8,2,7,0.7455540355677155,0.7774489858876104
3,16,32,2,0.8426812585499316,0.5167068813158118
0,8,4,5,0.8194254445964432,0.5792047251825747
10,8,32,3,0.8426812585499316,0.5387928174889606
6,2,1,6,0.4172366621067031,1.3973867996879246
8,4,32,3,0.813953488372093,0.5935463698013969
0,8,8,5,0.8248974008207934,0.5725967573082965
6,2,1,6,0.4172366621067031,1.3973867996879246
0,8,8,5,0.8248974008207934,0.5725967573082965
10,4,1,1,0.7824897400820794,0.688606884168542
3,16,4,7,0.7222982216142271,0.8254004768703295
0,16,4,2,0.8372093023255814,0.5069229291832965
0,32,16,6,0.8207934336525308,0.5957124958867612
3,32,4,3,0.7948016415868673,0.6395155865213146
6,8,1,3,0.759233926128591,0.7780884452488112
0,32,64,3,0.8248974008207934,0.5687799039094344
0,16,64,9,0.813953488372093,0.6106861777927565
10,8,64,2,0.8248974008207934,0.558815914651622
0,2,32,1,0.8180574555403557,0.592368623484736
6,32,16,7,0.7756497948016415,0.6798284779424253
0,1,32,9,0.7482900136798906,0.7786444788393767
6,16,4,6,0.7633378932968536,0.7034131754999575
8,2,16,3,0.7838577291381669,0.6993599767270295
3,1,64,9,0.4897400820793434,1.2889812303626018
10,32,16,1,0.8290013679890561,0.557827783667523
0,1,16,5,0.7756497948016415,0.7219608141028363
10,16,16,3,0.826265389876881,0.5472621503083602
10,32,1,7,0.7428180574555403,0.7761509107506793
10,16,1,6,0.761969904240766,0.7760902902354365
6,8,1,9,0.6292749658002736,1.0231338169263757
0,2,4,1,0.7852257181942545,0.6561772305032482
3,1,8,1,0.6538987688098495,0.955456194670304
10,1,4,9,0.253077975376197,1.7742201763650645
10,4,16,9,0.7975376196990424,0.6501787019812543
0,16,16,3,0.8290013679890561,0.5553537037061609
3,8,32,1,0.8549931600547196,0.5032892641813859
6,16,8,1,0.8071135430916553,0.6085985017859418
8,4,8,6,0.7934336525307798,0.6721195138019064
8,16,32,2,0.8248974008207934,0.5696690600851307
8,32,1,9,0.6785225718194254,0.935174444447393
8,2,2,5,0.5595075239398085,1.2160290427829907
3,1,32,2,0.7004103967168263,0.8376246742580248
6,4,4,1,0.7975376196990424,0.599837178769319
10,2,32,3,0.8194254445964432,0.6196399357007898
8,1,8,7,0.4158686730506156,1.5402135434358015
10,2,16,6,0.774281805745554,0.7462368011474609
0,1,1,2,0.5868673050615595,1.123385470846425
6,8,1,3,0.759233926128591,0.7780884452488112
3,2,1,1,0.5266757865937073,1.2772158747134001
0,2,1,6,0.5649794801641587,1.1933408820110818
8,16,2,5,0.7961696306429549,0.6275466006735096
10,16,64,5,0.8344733242134063,0.5376569084499193
8,1,8,5,0.454172366621067,1.439737900443699
0,16,64,7,0.7948016415868673,0.6216094804846722
3,2,16,9,0.6320109439124487,1.0155190177585767
6,1,2,6,0.4911080711354309,1.384010480797809
8,1,2,3,0.3707250341997264,1.6163731450619905
3,1,32,3,0.655266757865937,0.9634805762249492
3,32,64,5,0.7701778385772914,0.672728040943975
3,16,2,2,0.7797537619699042,0.6815336890842604
8,8,16,2,0.8153214774281806,0.5845666968304178
10,8,8,2,0.8331053351573188,0.5419329767641814
8,16,16,7,0.7783857729138167,0.6668215627255647
0,4,2,7,0.7797537619699042,0.6531070211659307
0,4,16,2,0.8344733242134063,0.5287221825641134
10,1,32,5,0.307797537619699,1.5754875514818274
8,8,16,1,0.8248974008207934,0.572670024374257
10,1,4,6,0.2503419972640219,1.7104871998662534
0,16,2,2,0.826265389876881,0.5442287610924762
3,4,32,3,0.8166894664842681,0.5758974655814793
0,16,2,2,0.826265389876881,0.5442287610924762
6,2,2,9,0.4897400820793434,1.3258756554645041
6,8,2,2,0.7961696306429549,0.6370287770810334
0,16,32,9,0.7961696306429549,0.6290352448173191
8,4,1,2,0.7770177838577291,0.7086981897768767
8,2,64,7,0.7852257181942545,0.6683867495992909
8,16,8,1,0.8385772913816689,0.5713058554607889
8,32,1,3,0.7729138166894665,0.7150454313858695
6,1,2,6,0.4911080711354309,1.384010480797809
8,1,32,2,0.47058823529411764,1.2996219137440557
3,32,2,1,0.8098495212038304,0.6005241559899371
10,32,16,9,0.7893296853625171,0.6496613129325535
0,8,32,7,0.8071135430916553,0.6058158459870712
0,8,4,3,0.8522571819425444,0.5242875140646229
10,8,64,5,0.8071135430916553,0.602973108706267
10,16,8,1,0.8344733242134063,0.5514273850814156
10,16,64,6,0.8180574555403557,0.6071915419205375
